Time (s),Original (counts),Bandpass (counts),Smoothed (counts)
4.5524,48020,46529.9,21524.6
4.5588,-8170,15183.6,25172.9
4.5652,331,715.6,21443.3
4.5716,60,14285.9,18810.8
4.5780,21930,34569.6,17534.3
4.5844,33080,35728.9,13174.1
4.5908,-26840,-7271.2,14859.9
4.5972,1940,2741.9,17286.4
4.6036,6090,23043.0,12280.4
4.6100,-3820,602.4,1902.3
4.6164,0,14125.8,-4096.5
4.6228,7500,11856.3,554.5
4.6292,-43370,-27445.7,5200.0
4.6355,-23970,-22777.5,5603.3
4.6419,1760,19763.8,5606.5
4.6483,46970,47276.4,5655.2
4.6547,5170,21216.8,9485.8
4.6611,-27660,-23504.6,11689.3
4.6675,-22460,-13242.4,2230.8
4.6739,131,12656.4,-9417.8
4.6803,70,-1326.2,-12459.1
4.6867,-46940,-24038.8,-11451.8
4.6931,-14620,-25651.6,-7984.4
4.6995,-24920,3195.9,-7359.6
4.7059,17170,5833.7,-11694.4
4.7123,-42450,-21248.5,-7588.9
4.7187,2880,3013.0,-165.9
4.7251,-4260,2183.1,-572.2
4.7315,-31200,-18425.2,564.1
4.7379,26930,23960.2,7620.3
4.7442,-149,16290.0,12677.9
4.7506,40,-4304.7,14004.3
4.7570,17580,33866.0,18238.3
4.7634,27990,21221.7,17202.0
4.7698,-21010,-1387.7,6414.9
4.7762,26760,14912.9,4177.0
4.7826,-19060,3147.6,3671.8
4.7890,-11580,-24070.5,-5953.3
4.7954,-32250,-14255.4,-7360.4
4.8018,23790,17249.4,-5026.7
4.8082,-13060,-3346.5,-9867.9
4.8146,-27600,-28368.9,-8499.0
4.8210,1,5723.5,-1907.5
4.8274,1410,-412.3,-3619.0
4.8338,-31510,-23178.2,-4671.6
4.8402,24450,17176.2,3063.8
4.8465,6030,18339.1,6048.7
4.8529,-2249,-13947.7,5893.1
4.8593,0,13331.9,10554.4
4.8657,28600,17131.3,6082.4
4.8721,-16840,-9034.0,-6145.6
4.8785,13660,9895.2,-6540.0
4.8849,-3540,-7775.6,-76.1
4.8913,-48720,-41789.7,-861.1
4.8977,16680,2067.3,1376.9
4.9041,32530,44414.6,9102.9
4.9105,41760,24012.1,10098.1
4.9169,-18360,-7583.2,11889.5
4.9233,23290,5083.6,9497.3
4.9297,-27,10654.7,-5152.7
4.9361,590,-21571.0,-11806.9
4.9425,-30060,-16612.4,-10230.3
4.9488,7450,-17653.7,-10853.7
4.9552,-25960,-16888.8,-12666.1
4.9616,31320,15484.3,-14348.7
4.9680,-6510,-15074.3,-11137.2
4.9744,-28710,-27169.0,-12887.8
4.9808,16880,-7479.7,-14028.1
4.9872,-26230,-20471.6,-13676.4
4.9936,17760,-1833.6,-10950.9
5.0000,2640,-8158.0,-4970.2
