Time (s),Original (counts),Bandpass (counts),Smoothed (counts)
1.0358,11030,11991.4,8443.9
1.0422,-44930,-30120.6,3164.4
1.0486,5020,-5924.9,-7107.0
1.0550,-36160,-20072.7,-10659.9
1.0614,6540,4704.1,-12897.2
1.0678,10280,11997.1,-7606.4
1.0742,-40960,-30517.7,-371.1
1.0806,2,-2254.6,-4314.9
1.0870,1900,5914.1,-3995.8
1.0934,-9070,2783.5,-4327.9
1.0997,9920,-1562.9,-2163.6
1.1061,-42670,-20822.8,7559.3
1.1125,27640,16307.4,6208.0
1.1189,5400,16522.3,4633.3
1.1253,3040,9433.8,9203.5
1.1317,30370,22588.3,9291.6
1.1381,-37010,-15794.5,7075.8
1.1445,18040,2182.1,3914.0
1.1509,39,23192.4,3433.3
1.1573,30,-14271.1,3583.3
1.1637,-13740,7194.0,7339.9
1.1701,39240,26413.2,17696.2
1.1765,-13270,6705.4,17802.4
1.1829,30340,19134.5,15696.3
1.1893,20860,37614.5,22591.7
1.1957,31230,24874.3,19775.8
1.2020,-18280,-6948.5,15120.4
1.2084,13380,11431.4,18979.2
1.2148,29150,38369.3,15354.3
1.2212,-20,-2089.1,11227.7
1.2276,160,9950.4,13291.2
1.2340,31790,31570.4,9130.3
1.2404,-20100,-16815.5,-1197.0
1.2468,-16340,-5508.7,-10667.9
1.2532,3620,-5613.7,-16759.3
1.2596,-64370,-44462.4,-21555.1
1.2660,-12240,-22610.0,-22922.9
1.2724,-33720,-22573.1,-22782.2
1.2788,-30390,-23545.2,-24004.8
1.2852,13720,3358.9,-19256.9
1.2916,-50660,-23282.1,-16203.9
1.2980,-14080,-39259.0,-15970.7
1.3043,-33730,-488.4,-12372.9
1.3107,17490,-3287.5,-12826.2
1.3171,-43890,-24548.1,-9799.8
1.3235,7170,6771.5,-3961.1
1.3299,380,-2188.2,-3913.9
1.3363,-33430,-16192.4,-3716.8
1.3427,24490,13237.9,-5239.5
1.3491,-29790,-14552.0,-6623.0
1.3555,-9730,-10365.0,-1850.3
1.3619,11480,12313.4,1642.5
1.3683,-36920,-24796.4,-2045.1
1.3747,20310,13644.6,-992.1
1.3811,25330,38888.1,6214.3
1.3875,-28060,-31663.1,2747.6
1.3939,-27300,-18980.4,-715.4
1.4003,34760,36578.6,923.7
1.4066,-6190,-2249.8,-8453.7
1.4130,-36990,-32707.2,-9546.8
1.4194,14,3901.4,3513.2
1.4258,650,2458.9,2785.0
1.4322,-20720,-12370.2,314.8
1.4386,36470,32600.7,12077.1
1.4450,20260,34611.0,17643.4
1.4514,-1357,-10697.9,16860.7
1.4578,0,17929.4,20438.0
1.4642,44870,35579.0,18240.6
1.4706,-10120,2431.2,11288.5
1.4770,16100,17858.1,11662.4
1.4834,17620,14931.5,13262.1
1.4898,-28270,-10320.5,5726.4
1.4962,26660,10315.7,642.2
1.5026,-14390,12100.8,4159.2
1.5090,13560,-5640.8,3581.9
1.5153,-31770,-7061.8,2338.6
1.5217,22810,7854.2,4219.4
1.5281,-2,19998.9,446.8
1.5345,3980,-7173.2,-3128.9
1.5409,-31390,-14135.6,-2030.4
1.5473,13260,4157.5,-3666.0
1.5537,-29200,-13786.1,-5634.3
1.5601,317,-7471.4,-214.5
1.5665,70,15396.2,7158.0
1.5729,12060,2312.5,5074.5
1.5793,-5550,13609.8,862.2
1.5857,36810,22350.2,5000.1
1.5921,-39570,-16603.8,5501.7
1.5985,-11740,-27724.8,798.3
1.6049,-8880,12544.8,468.7
1.6113,42930,31118.2,-2826.4
1.6176,-21830,-6175.2,-3194.6
1.6240,-12280,-18385.0,5226.9
1.6304,-6530,4627.8,4970.8
1.6368,-4,-3220.8,345.7
1.6432,4900,13632.3,3809.3
1.6496,24070,24512.5,7006.7
1.6560,-12340,-10084.6,8198.3
1.6624,2890,12417.5,11706.9
1.6688,28410,20735.0,15862.3
1.6752,-24600,-7242.4,18596.7
1.6816,45220,33775.9,21634.1
1.6880,27840,44609.9,22699.2
1.6944,21300,12806.2,15440.1
1.7008,4,14032.7,9452.9
1.7072,4520,-3690.3,7519.0
1.7136,-35020,-18455.2,-3661.9
1.7199,3580,-9099.2,-12853.1
1.7263,-19750,1245.3,-10449.1
1.7327,17070,1370.8,-10326.2
1.7391,-51790,-29864.9,-9286.4
1.7455,-11,-15309.0,-2636.6
1.7519,430,21482.2,-1624.8
1.7583,4350,-10198.0,-2672.3
1.7647,-20290,-923.3,604.9
1.7711,33380,23129.5,55.9
1.7775,-31280,-20549.5,-4869.4
1.7839,-14230,-11838.2,-3415.1
1.7903,7960,4113.9,947.4
1.7967,-33770,-18517.8,-2637.6
1.8031,29050,16868.2,-688.0
1.8095,11840,29484.6,8564.2
1.8159,-5600,-15252.8,7051.7
1.8223,-20700,-8545.2,6766.1
1.8286,33130,29243.1,7671.3
1.8350,390,8271.0,-1385.1
1.8414,-14610,-16838.9,-454.0
1.8478,3539,11631.1,6013.0
1.8542,0,-2545.7,4858.8
1.8606,-14550,-8919.0,7943.1
1.8670,34010,38330.0,14174.8
1.8734,21720,16328.2,16877.6
1.8798,-5610,10415.2,15307.8
1.8862,44990,31851.2,12781.2
1.8926,-22060,-6683.5,9079.2
1.8990,170,-2791.4,3565.0
1.9054,6980,4703.7,2836.1
1.9118,-25920,-8998.7,-2112.1
1.9182,30820,11749.9,-6839.5
1.9246,-24030,2464.7,-1448.3
1.9309,4030,-16744.2,-2176.1
1.9373,-38060,-15936.9,-3066.1
1.9437,20000,5617.7,-375.3
1.9501,-21,17221.3,-4192.3
1.9565,180,-13187.9,-3204.3
1.9629,-22170,-2890.5,-1554.4
1.9693,15250,-526.2,-5653.9
1.9757,-42650,-24728.2,-7623.2
1.9821,8530,359.7,-9356.3
1.9885,-11190,-7484.0,-12350.2
1.9949,-26410,-16816.0,-14048.8
2.0013,15540,2082.2,-10292.3
2.0077,-49790,-28026.5,-8206.1
2.0141,-5800,-24528.5,-10798.1
2.0205,-1790,18303.9,-6220.5
2.0269,19830,7342.3,-2941.9
2.0332,-31000,-19201.6,-1054.1
2.0396,3790,-1176.2,6557.3
2.0460,10520,16868.5,3029.2
2.0524,-467,-2638.7,-4357.4
2.0588,0,4886.1,-1127.3
2.0652,6390,5820.8,2451.6
2.0716,-27140,-25785.2,6618.1
2.0780,3260,8011.1,12721.8
2.0844,40260,35615.5,14862.7
2.0908,12060,20962.1,15092.8
2.0972,40700,35002.9,16108.3
2.1036,-2930,3828.8,13635.1
2.1100,-22620,-25343.4,2141.1
2.1164,144,5525.8,-8683.2
2.1228,60,-5103.3,-12202.1
2.1292,-36230,-24886.5,-18103.7
2.1355,-7610,-20852.5,-21278.3
2.1419,-36890,-18151.3,-18825.4
2.1483,6480,-11885.1,-21224.6
2.1547,-54340,-33613.0,-18599.9
2.1611,-91,-18501.8,-7004.9
2.1675,70,19913.4,-182.5
2.1739,11340,-6197.6,4652.0
2.1803,-4810,12901.8,11012.8
2.1867,52520,40070.0,13795.4
2.1931,-13270,-5614.9,12179.1
2.1995,1550,3436.5,10267.2
2.2059,23630,15243.1,12575.3
2.2123,-18780,-4019.5,9107.6
2.2187,31700,17329.7,770.0
2.2251,-20,11768.9,147.8
2.2315,390,-3863.6,-2862.5
2.2379,-17360,-19262.4,-8971.5
2.2442,-40590,-32607.5,-9944.2
2.2506,14180,4591.9,-11392.3
2.2570,-9230,530.0,-12003.3
2.2634,-13700,-21001.3,-8388.7
2.2698,34,5878.5,-2943.1
2.2762,510,-4193.9,-3113.1
2.2826,-23370,-17882.3,-5590.7
2.2890,15790,8956.8,-380.0
2.2954,-5370,3339.0,481.2
2.3018,-3724,-13937.7,-3555.7
2.3082,0,10636.0,-1753.9
2.3146,16820,6690.5,-2404.5
2.3210,-33830,-25937.8,-6189.1
2.3274,1980,-3952.3,-5563.9
2.3338,5190,9041.9,48.3
2.3402,-3,-4928.2,5688.3
2.3465,1960,9222.7,13879.5
2.3529,37870,24860.3,27165.7
2.3593,26970,44149.3,31252.9
2.3657,56190,35215.5,30399.4
2.3721,6360,24821.4,29265.8
2.3785,50480,37101.7,18131.3
2.3849,-6380,-4065.0,8090.4
2.3913,-19950,-13335.4,382.0
2.3977,12530,-2810.7,-6211.7
2.4041,-36510,-21200.9,-7485.3
2.4105,20530,8245.0,-10418.2
2.4169,-4960,-3450.9,-9380.3
2.4233,-25260,-18880.3,-9083.6
2.4297,17050,1899.3,-11546.1
2.4361,-40500,-25823.2,-8014.3
2.4425,45,-13112.4,-8662.8
2.4488,0,3896.6,-7052.7
2.4552,-5330,-4073.2,1421.1
2.4616,26930,17564.8,3807.2
2.4680,-14390,-4762.5,6330.7
2.4744,16260,3580.0,10756.5
2.4808,24830,33876.5,10653.9
2.4872,-16,-10549.7,9943.1
2.4936,430,6154.8,9323.0
2.5000,40960,35197.9,7088.9
2.5064,-10620,-12522.9,4349.4
2.5128,-4510,-360.6,4437.2
2.5192,22830,10408.6,7865.6
2.5256,-21400,-9661.2,6679.3
2.5320,39190,24139.4,5283.6
2.5384,7560,16465.8,8701.2
2.5448,4510,-5127.3,3908.1
2.5512,405,4832.5,-1837.9
2.5575,60,-9719.1,-3661.6
2.5639,-22330,-12577.8,-11238.4
2.5703,890,-17744.6,-10637.3
2.5767,-28040,-10567.0,-7604.8
2.5831,19890,-990.1,-13122.3
2.5895,-30500,-19645.4,-15950.0
2.5959,1450,-4655.1,-22552.7
2.6023,-20150,-28654.1,-29984.2
2.6087,-70600,-59372.4,-32541.2
2.6151,-13800,-32002.3,-36547.6
2.6215,-52280,-42522.8,-37030.9
2.6279,-18700,-25666.8,-32619.9
2.6343,520,-6412.9,-22054.4
2.6407,-46230,-37620.5,-14962.8
2.6471,4350,-12315.8,-16286.4
2.6535,-40,9909.8,-9141.7
2.6598,990,-10010.6,-3058.7
2.6662,-21580,-21510.7,-4698.4
2.6726,-5950,-6814.2,-1279.0
2.6790,37620,29501.9,-2692.0
2.6854,-8870,-4676.1,-8747.0
2.6918,-28070,-39061.0,-7011.7
2.6982,169,5566.2,-7031.0
2.7046,50,-10803.8,-14035.2
2.7110,-33640,-31231.4,-16971.9
2.7174,12280,8262.8,-12299.1
2.7238,-6260,-14898.2,-10609.2
2.7302,-34140,-25387.6,-12747.2
2.7366,25220,5547.0,-5840.1
2.7430,-20720,-6832.5,2644.4
2.7494,13850,-3225.0,5798.4
2.7558,14900,18498.7,10728.2
2.7621,26360,24306.9,7872.4
2.7685,27850,15172.5,2965.9
2.7749,-19150,-7600.0,5098.4
2.7813,2640,-19001.3,207.4
2.7877,-30840,-15643.2,-4430.4
2.7941,37090,15386.4,-3999.1
2.8005,-27,13716.3,-5343.5
2.8069,40,-21002.4,-1618.9
2.8133,-10010,3961.9,515.3
2.8197,19660,-1147.0,-2575.8
2.8261,-30860,-20722.4,-3494.7
2.8325,26670,15215.0,-2340.5
2.8389,2910,-1882.2,-1699.1
2.8453,-14970,-9435.0,-6241.8
2.8517,28210,9254.2,-7081.3
2.8581,-31390,-19619.3,-2104.2
2.8645,1,-15239.2,-902.2
2.8708,760,-97.5,-539.1
2.8772,9880,11589.8,-5268.1
2.8836,40810,23995.0,-5934.6
2.8900,-25080,-13273.6,3087.2
2.8964,-14920,-34186.6,2613.6
2.9028,-15340,-7881.5,1281.8
2.9092,48420,36556.9,3328.5
2.9156,25980,27122.9,2673.6
2.9220,-8930,-19125.3,9221.8
2.9284,4150,8782.4,10779.6
2.9348,25150,8458.1,1763.3
2.9412,-25050,-15537.5,-3558.2
2.9476,30860,14950.5,-1680.4
2.9540,-8290,-7275.6,-281.5
2.9604,-14660,-16078.2,-6288.6
2.9668,28920,13393.2,-6155.3
2.9731,-20250,-7955.9,-1868.3
2.9795,5810,-17640.0,-5161.5
2.9859,-17700,-3848.9,-2215.2
2.9923,35650,14690.1,1535.9
2.9987,-3090,7525.8,2199.1
3.0051,4866,-15289.2,7516.7
3.0115,0,13135.0,3990.7
3.0179,37940,13397.5,-3628.2
3.0243,-23080,-7414.7,-7722.9
